loss=0.7621, loss_best=0.7621, focal=1.91, trans=[-0.00, 0.00, -1.50]
loss=0.7141, loss_best=0.7135, focal=1.95, trans=[-0.01, -0.04, -1.44]
loss=0.6874, loss_best=0.6874, focal=1.97, trans=[-0.02, -0.05, -1.41]
loss=0.6662, loss_best=0.6662, focal=1.98, trans=[-0.03, -0.05, -1.40]
loss=0.6560, loss_best=0.6560, focal=1.98, trans=[-0.03, -0.05, -1.39]
loss=0.6503, loss_best=0.6503, focal=1.98, trans=[-0.03, -0.05, -1.39]
loss=0.6466, loss_best=0.6465, focal=1.99, trans=[-0.04, -0.05, -1.38]
loss=0.6456, loss_best=0.6456, focal=1.99, trans=[-0.04, -0.05, -1.38]
loss=0.6442, loss_best=0.6442, focal=1.99, trans=[-0.04, -0.05, -1.38]
loss=0.6440, loss_best=0.6440, focal=1.99, trans=[-0.04, -0.05, -1.38]
loss=0.6455, loss_best=0.6440, focal=1.99, trans=[-0.04, -0.05, -1.38]
