loss=0.3065, best=0.3065, focal=1.79, trans=[-0.00, 0.00, -1.00]
loss=0.3246, best=0.3065, focal=nan, trans=[nan, nan, nan]
loss=0.3246, best=0.3065, focal=nan, trans=[nan, nan, nan]
loss=0.3246, best=0.3065, focal=nan, trans=[nan, nan, nan]
loss=0.3246, best=0.3065, focal=nan, trans=[nan, nan, nan]
loss=0.3246, best=0.3065, focal=nan, trans=[nan, nan, nan]
loss=0.3246, best=0.3065, focal=nan, trans=[nan, nan, nan]
loss=0.3246, best=0.3065, focal=nan, trans=[nan, nan, nan]
loss=0.3246, best=0.3065, focal=nan, trans=[nan, nan, nan]
loss=0.3246, best=0.3065, focal=nan, trans=[nan, nan, nan]
loss=0.3246, best=0.3065, focal=nan, trans=[nan, nan, nan]
